Age ,Gender,Attribute,Sub_attribute,Budget,Gift_1,Gift_2,Gift_3,Gift_4,Gift_5,Gift 6_(optional),URL_status_1,URL_status_2,URL_status_3,URL_status_4,URL_status_5,URL_status_6
15-20,Male,Creative,DIYer,100-150,https://www.chapters.indigo.ca/en-ca/electronics/3doodler-create-3d-printing-pen/853653006895-item.html?s_campaign=goo-Shopping_Electronics&ds_rl=1254699&gclid=Cj0KCQjwpcLZBRCnARIsAMPBgF3ASO_zJMFJe1gHBbUTBXlniaYJE96R8o1K-OPajWto-Bm4OFm1O5YaAqVREALw_wcB,https://www.bhphotovideo.com/c/product/1139453-REG/polaroid_polmp01b_zip_mobile_printer_black.html,https://store.nike.com/us/en_us/product/air-huarache-run-id-shoe/?piid=44970&pbid=846356367,-,-,-,200,200,200,#ERROR!,#ERROR!,#ERROR!
15-20,Male,Creative,Fashion_Enthusiast,100-150,https://herschel.ca/shop/backpacks/little-america-backpack?CAWELAID=120246760000004225&CAGPSPN=pla&CAAGID=52044885000&CATCI=aud-330429037590:pla-297767871815&utm_medium=cpc&utm_source=google_shopping&utm_campaign=backpack&utm_term=&utm_content=Va59OLHg|pcrid|236413128940|pkw||pmt||pdv|c|productid|10014-00001-OS|&gclid=CjwKCAjw2MTbBRASEiwAdYIpsQScZxGb22NhIq2flKlwXy7rEBS7q2mFx34YGeUNihydyDsa24ZBMBoCcZ8QAvD_BwE&v=10014-00001-OS,https://www.urbanoutfitters.com/shop/fjallraven-kanken-big-backpack?category=mens-bags-wallets&color=031,https://store.nike.com/us/en_us/product/air-huarache-run-id-shoe/?piid=44970&pbid=846356367,https://www.ssense.com/en-ca/men/product/comme-des-garcons-play/white-heart-patch-t-shirt/2772628?gclid=CjwKCAjwwdTbBRAIEiwAYQf_EzN1OOelTL213AsLM0dToA5vth8Bh89gaJ_Gjmm0NOTAGhKMoFFLmhoCyFcQAvD_BwE,http://www.canadiantire.ca/en/pdp/everlast-cardio-blast-heavy-bag-black-pink-40-lbs-0847892p.html#srp,-,#ERROR!,#ERROR!,200,200,200,#ERROR!
15-20,Female,Creative,Visual_Artist,25-50,https://www.urbanoutfitters.com/en-ca/shop/fujifilm-fujicolor-quicksnap-flash-400-35mm-disposable-camera?adpos=1o1&cm_mmc=SEM-_-Google-_-PLA-_-177020967658_product_type_a_product_type_media_product_type_camera_brand&color=095&creative=217450512889&device=c&gclid=Cj0KCQjwpcLZBRCnARIsAMPBgF1TbJyOlH1ThPZsiP2pKZ_kmXz5A5FZf3y5XSh1lSgmoMnNqHPJcmIaAhTtEALw_wcB&inventoryCountry=CA&matchtype=&mrkgadid=3084095100&mrkgcl=1033&network=g&product_id=46699708&size=ALL&utm_campaign=PLA,https://www.chapters.indigo.ca/en-ca/house-and-home/hangit-photo-display-natural/028295433198-item.html?ikwsec=Home&ikwidx=12,https://www.chapters.indigo.ca/en-ca/house-and-home/scratch-map-rose-gold-edition/5060146593915-item.html?ikwsec=HouseAndHome&ikwidx=3,https://www.uncommongoods.com/product/awkward-family-photos-movie-caption-game,https://www.uncommongoods.com/product/gummy-bear-lights?irgwc=1&utm_source=Skimbit%20Ltd.&utm_medium=affiliates&utm_campaign=8444&utm_term=Online%20Tracking%20Link&clickid=UddynMTIRx7fymv018213XtHUkg0EM2fVyldWs0&trafficSource=Impact&sharedid=subaffiliate,-,#ERROR!,200,200,200,#ERROR!,#ERROR!
15-20,Female,Creative,Musician,25-50,https://www.walmart.ca/en/ip/sharper-image-disco-party-light-bulb/6000197327342?cmpid=sem_pla_google_en_none_6000197327342_6000188914393600019717237660001971722706000197307076_None&cmpid=sem_pla_google_en_none_868545256_45415463938_None&gclid=CjwKCAjwwo7cBRBwEiwAMEoXPAjoHMvPPKjuCcEFnFCqSjs1iugTCcbuUldg_V_EENBDJ2RmeZw5YBoC1pMQAvD_BwE,https://www.uncommongoods.com/product/music-iq-party-game,https://www.uncommongoods.com/product/color-changing-touch-speaker,https://www.urbanoutfitters.com/en-ca/shop/photive-sphere-wireless-bluetooth-speaker?category=speakers&color=040&quantity=1&size=ONE%20SIZE&type=REGULAR,https://www.bestbuy.ca/en-ca/product/q7-portable-wireless-bluetooth-karaoke-microphone-built-in-speaker-in-black/11986822.aspx?,https://support.spotify.com/ca-en/article/spotify-gift-cards/,200,200,200,#ERROR!,200,#ERROR!
15-20,Female,Creative,DIYer,25-50,https://www.chapters.indigo.ca/en-ca/gifts/product/628055260189-item.html?s_campaign=goo-Shopping_All_Products_RLSA&ds_rl=1254699&gclid=Cj0KCQjwpcLZBRCnARIsAMPBgF2B-WjxZP2V_xomVVPJ8YKJydX29VLRxOBROpqZgiiAW2BiE_uo5xsaAiLwEALw_wcB ,https://www.chapters.indigo.ca/en-ca/house-and-home/scratch-map-rose-gold-edition/5060146593915-item.html?ikwsec=HouseAndHome&ikwidx=3,https://www.urbanoutfitters.com/en-ca/shop/lomography-konstruktor-35mm-camera-diy-kit2?adpos=1o1&cm_mmc=SEM-_-Google-_-PLA-_-177020967658_product_type_a_product_type_media_product_type_camera_brand&color=001&creative=217450512889&device=c&gclid=CjwKCAjw2MTbBRASEiwAdYIpsXoDSTwaCMTWz7OZftQPGywbOUl6bl2Ob5ekanWDqzi0BpvNcjS5SRoCjJQQAvD_BwE&inventoryCountry=CA&matchtype=&mrkgadid=3084095100&mrkgcl=1033&network=g&product_id=45106689&size=ALL&utm_campaign=PLA,https://www.etsy.com/ca/listing/541878010/toronto-toronto-gift-housewarming-gift?gpla=1&gao=1&utm_campaign=shopping_ca_en_ca_DavidCrightonArt_sfc_osa&utm_medium=cpc&utm_source=google&utm_custom1=0&utm_content=13776023&gclid=CjwKCAjw-8nbBRBnEiwAqWt1zT89Au_oHa4kjEIzUQPCM3UMgJ8EXfhXWyw_YPvsxz8lJLioTmvNRxoCrNIQAvD_BwE,https://www.uncommongoods.com/product/make-your-own-flower-crown,https://www.urbanoutfitters.com/en-ca/shop/calendar-chalkboard?category=on-campus&color=001,200,200,#ERROR!,200,200,#ERROR!
15-20,Female,Creative,Fashion_Enthusiast,25-50,https://www.ikea.com/ca/en/catalog/products/60179434/,https://www.chapters.indigo.ca/en-ca/fashion/baseball-call-bad-hair-day/882709422426-item.html?ref=lifestyle%3astyle%3afashion-main%3a_fashion-departmentpage-productlist%3a4%3a,https://desenio.com/us/artiklar/pastel-pink-palm-poster.html,https://desenio.com/us/artiklar/poster-lipstick-fashion-print.html,https://www.urbanoutfitters.com/en-ca/shop/petal-multi-use-oil?category=perfume-fragrance&color=066,http://www.asos.com/nike/nike-heritage-bumbag-in-black-ba5750-010/prd/9061169?browsecountry=CA&currencyid=3&istCompanyId=4a794665-4c4f-4ae8-9e93-5630072d7bff&istItemId=-xralltwqqw&istBid=tztx&affid=14070&channelref=google_shopping&mk=abc&r=2&mk=abc&gclid=CjwKCAjwns_bBRBCEiwA7AVGHmXnfQYKmiicy6ZfeORUanIgMlSV4IBL1c4_-aA02z3uRn3LPVi06RoCcuUQAvD_BwE&gclsrc=aw.ds,200,200,200,200,#ERROR!,#ERROR!
15-20,Female,Creative,Visual_Artist,50-100,https://www.urbanoutfitters.com/en-ca/shop/fujifilm-instax-mini-9-instant-camera?category=cameras&color=010 ,https://www.urbanoutfitters.com/en-ca/shop/lomography-sprocket-rocket-panoramic-35mm-camera?adpos=1o2&cm_mmc=SEM-_-Google-_-PLA-_-177020967658_product_type_a_product_type_media_product_type_camera_brand&color=001&creative=217450512889&device=c&gclid=CjwKCAjw2MTbBRASEiwAdYIpsW7n2--WZb1OcaywsEbiM2A4-znh5fy12HLGJAYB2eRXfGfUJackuRoCa_kQAvD_BwE&inventoryCountry=CA&matchtype=&mrkgadid=3084095100&mrkgcl=1033&network=g&product_id=47867031&size=ALL&utm_campaign=PLA,https://www.herrschners.ca/product/schipper+lion+polygon+art+paint+kit.do?sortby=newArrivals&refType=&from=fn,https://www.urbanoutfitters.com/en-ca/shop/hello-neon-sign?category=on-campus&color=068,https://www.saksoff5th.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374302023759&PRODUCT%3C%3Eprd_id=845524442352162&R=844702066045&P_name=Merkury+Innovations&N=302023759&bmUID=ml3fQYe,https://www.wayfair.ca/baby-kids/pdp/faber-castell-manga-drawing-kit-faca1025.html?source=hotdeals,#ERROR!,#ERROR!,200,#ERROR!,200,200
15-20,Female,Creative,Musician,50-100,https://www.urbanoutfitters.com/en-ca/shop/crosley-dove-grey-cruiser-bluetooth-record-player?category=audio-accessories&color=006 ,https://www.urbanoutfitters.com/en-ca/shop/crosley-mockingbird-bluetooth-radio-speaker?category=audio-accessories&color=045,https://www.uncommongoods.com/product/recycled-record-bookends-set-of-2,https://support.spotify.com/ca-en/article/spotify-gift-cards/,https://reverb.com/ca/p/akai-mpk-mini-mkii?gclid=EAIaIQobChMIkcvHufbx3AIVwSSGCh1z9wU3EAYYAiABEgJe4fD_BwE&gclsrc=aw.ds&hfid=14089001,https://www.long-mcquade.com/16563/Guitars/Ukuleles/Kala/Mahogany-Soprano-Ukulele--no-Binding.htm,#ERROR!,#ERROR!,200,200,200,200
15-20,Female,Creative,DIYer,50-100,https://www.urbanoutfitters.com/en-ca/shop/interchangeable-poster-light-box?category=neon-lights&color=000,https://store.nike.com/us/en_us/pw/womens-nikeid-converse-shoes/1k9Z7ptZpirZoi3,https://www.urbanoutfitters.com/en-ca/shop/kikkerland-design-wood-charging-station?category=on-campus&color=020,https://www.uncommongoods.com/product/sneaker-customization-kit,-,-,#ERROR!,200,#ERROR!,200,#ERROR!,#ERROR!
15-20,Female,Creative,Fashion_Enthusiast,50-100,https://www.ikea.com/ca/en/catalog/products/40177233/,https://www.chapters.indigo.ca/en-ca/electronics/lumee-two-case-for-iphone/814167021958-item.html,https://store.nike.com/us/en_us/pw/womens-nikeid-converse-shoes/1k9Z7ptZpirZoi3,https://www.urbanoutfitters.com/en-ca/shop/hello-neon-sign?category=on-campus&color=068,https://www.urbanoutfitters.com/en-ca/shop/foxybae-straightening-brush?category=hair-accessories-tools&color=001,https://www.saksoff5th.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374302024902&PRODUCT%3C%3Eprd_id=845524442175035&R=9780865651593&P_name=Abrams+Books&N=302024902&bmUID=mlwTtyI,200,200,200,#ERROR!,#ERROR!,200
15-20,Female,Creative,Visual_Artist,100-150,https://www.urbanoutfitters.com/en-ca/shop/polaroid-originals-onestep-2-viewfinder-instant-camera?category=cameras&color=010,https://www.chapters.indigo.ca/en-ca/house-and-home/heart-led-wall-light/628055260370-item.html?ikwsec=HouseAndHome&ikwidx=18,https://www.bestbuy.ca/en-ca/product/wacom-intuos-6-0-x-3-7-graphic-tablet-with-stylus-ctl4100-black/12352380.aspx?,https://www.urbanoutfitters.com/shop/lomography-diana-f-instant-camera2?category=cameras-film&color=045,https://www.bhphotovideo.com/c/product/1139453-REG/polaroid_polmp01b_zip_mobile_printer_black.html,-,#ERROR!,200,200,#ERROR!,200,#ERROR!
15-20,Female,Creative,Musician,100-150,https://www.urbanoutfitters.com/en-ca/shop/crosley-uo-exclusive-coral-canvas-cruiser-bluetooth-record-player,https://www.chapters.indigo.ca/en-ca/electronics/urbeats3-earphones-with-lightning-connector/190198505682-item.html?ikwsec=Home&ikwidx=20,https://www.uncommongoods.com/product/ukulele-diy-kit,https://www.gearcity.ca/product/recording-equipment/recording-controllers/behringer-cmd-touch-tc64-clip-launch-controller-with-64-buttons/?gclid=EAIaIQobChMIkcvHufbx3AIVwSSGCh1z9wU3EAYYBSABEgID9_D_BwE,-,-,#ERROR!,200,#ERROR!,200,#ERROR!,#ERROR!
15-20,Female,Creative,DIYer,100-150,https://www.chapters.indigo.ca/en-ca/electronics/3doodler-create-3d-printing-pen/853653006895-item.html?s_campaign=goo-Shopping_Electronics&ds_rl=1254699&gclid=Cj0KCQjwpcLZBRCnARIsAMPBgF3ASO_zJMFJe1gHBbUTBXlniaYJE96R8o1K-OPajWto-Bm4OFm1O5YaAqVREALw_wcB ,https://www.bhphotovideo.com/c/product/1139453-REG/polaroid_polmp01b_zip_mobile_printer_black.html,https://www.uncommongoods.com/product/ukulele-diy-kit,https://www.urbanoutfitters.com/en-ca/shop/everyday-standing-mixer?category=on-campus&color=010,-,-,200,200,200,#ERROR!,#ERROR!,#ERROR!
15-20,Female,Creative,Fashion_Enthusiast,100-150,https://www.urbanoutfitters.com/en-ca/shop/foxybae-straightening-brush?category=hair-accessories-tools&color=001,http://www.thebay.com/webapp/wcs/stores/servlet/en/thebay/kanken-mini-backpack-0600089245307--24?site_refer=CSE_GGLPLA&gclid=EAIaIQobChMI4ZX3vezx3AIVg8DACh1GdAaZEAQYDSABEgKcqfD_BwE&gclsrc=aw.ds,https://www.chapters.indigo.ca/en-ca/fashion/matt-nat-aries-vintage-backpack/883313925013-item.html?ikwsec=Home&ikwidx=3,https://www.fentybeauty.com/moroccan-spice-collection/ultimate-eye-essentials-5-pc-collectors-set/38031.html,-,-,#ERROR!,#ERROR!,200,#ERROR!,#ERROR!,#ERROR!
15-20,Neutral ,Creative,Visual_Artist,25-50,https://www.urbanoutfitters.com/en-ca/shop/fujifilm-fujicolor-quicksnap-flash-400-35mm-disposable-camera?adpos=1o1&cm_mmc=SEM-_-Google-_-PLA-_-177020967658_product_type_a_product_type_media_product_type_camera_brand&color=095&creative=217450512889&device=c&gclid=Cj0KCQjwpcLZBRCnARIsAMPBgF1TbJyOlH1ThPZsiP2pKZ_kmXz5A5FZf3y5XSh1lSgmoMnNqHPJcmIaAhTtEALw_wcB&inventoryCountry=CA&matchtype=&mrkgadid=3084095100&mrkgcl=1033&network=g&product_id=46699708&size=ALL&utm_campaign=PLA ,https://fab.com/product/tupac-pillow-531249/?ref=browse&pos=7,https://www.urbanoutfitters.com/en-ca/shop/smartphone-magnifier?category=photo-music-tech-sale&color=020,https://www.walmart.com/ip/Sketching-Drawing-Painting-Kit-Sketch-Pad-Includes-Watercolors-Brush-Colored-Pencils-Sharpener-Oil-Pastels-Kneaded-eraser/241826586,https://www.bhphotovideo.com/bnh/controller/home?A=details&O=&Q=&gclid=CjwKCAjw2MTbBRASEiwAdYIpsanngxBZbP8xJFXJ1IMEoHvjTeNYNQ5HkOAr_VGunakSxkwG4CSQOxoCwosQAvD_BwE&is=REG&pcur=CAD&sku=527838,https://www.wayfair.ca/baby-kids/pdp/faber-castell-manga-drawing-kit-faca1025.html?source=hotdeals,#ERROR!,200,#ERROR!,#ERROR!,200,200
15-20,Neutral ,Creative,Musician,25-50,https://www.walmart.ca/en/ip/sharper-image-disco-party-light-bulb/6000197327342?cmpid=sem_pla_google_en_none_6000197327342_6000188914393600019717237660001971722706000197307076_None&cmpid=sem_pla_google_en_none_868545256_45415463938_None&gclid=CjwKCAjwwo7cBRBwEiwAMEoXPAjoHMvPPKjuCcEFnFCqSjs1iugTCcbuUldg_V_EENBDJ2RmeZw5YBoC1pMQAvD_BwE,https://www.bestbuy.ca/en-ca/product/q7-portable-wireless-bluetooth-karaoke-microphone-built-in-speaker-in-black/11986822.aspx?,https://www.urbanoutfitters.com/en-ca/shop/photive-sphere-wireless-bluetooth-speaker?category=speakers&color=040&quantity=1&size=ONE%20SIZE&type=REGULAR,https://support.spotify.com/ca-en/article/spotify-gift-cards/,-,-,200,200,#ERROR!,#ERROR!,200,#ERROR!
